size_id,category,age,units,chest,waist,abdomen,hip,height,neck_to_waist,waist_to_hip,waist_to_knee,waist_to_ankle,wingspan,back_width,back_neck,neck,neck_depth,arm_length,arm_depth,upper_arm,wrist,armhole,head_circ,crotch,leg_length,thigh,skirt_hem,rib_body,rib_neck,ease_factor,ease_arml
1,Baby,0m,in,18.0,18.0,0.0,19.0,24.0,7.0,3.0,8.5,14.0,18.0,7.5,4.0,8.8,1.75,6.0,3.25,4.5,3.5,7.1,15.0,14.0,11.0,9.0,0.75,1.5,0.7,1.0,0.5
2,Baby,6m,in,20.0,19.0,0.0,20.0,28.0,7.5,3.4,10.0,16.0,21.0,7.75,4.1,9.0,1.8,6.5,3.5,5.0,4.0,7.7,16.0,15.0,13.0,10.0,0.75,1.5,0.7,1.0,0.5
3,Baby,12m,in,22.0,20.0,0.0,21.0,32.0,8.0,3.9,11.0,19.0,24.0,8.25,4.3,9.5,1.9,7.0,3.75,5.5,4.5,8.3,17.0,16.0,15.0,11.0,0.75,1.5,0.7,1.0,0.5
4,Child,2,in,20.0,20.0,0.0,22.0,34.0,9.0,4.2,12.0,20.0,26.0,9.25,4.66,10.2,2.0,8.0,4.25,6.0,4.5,9.3,19.5,16.2,16.0,12.0,0.9,1.75,0.75,1.0,0.5
5,Child,4,in,22.0,21.0,0.0,24.0,40.0,9.5,4.9,14.0,23.0,30.0,9.5,4.91,10.8,2.2,8.5,4.5,6.5,4.75,9.9,20.0,17.8,19.0,13.0,0.9,1.75,0.75,1.05,0.5
6,Child,6,in,24.0,22.0,0.0,26.0,46.0,10.8,5.7,16.0,26.5,34.0,10.25,5.16,11.3,2.4,10.5,5.0,7.0,5.0,11.0,20.5,19.5,21.9,14.0,0.9,1.75,0.75,1.1,0.75
7,Child,8,in,26.0,23.0,0.0,28.0,51.0,11.8,6.3,18.0,29.5,38.0,10.75,5.3,11.7,2.5,12.0,5.5,7.5,5.25,12.1,21.0,21.3,24.2,15.0,1.0,2.0,0.75,1.14,0.75
8,Child,10,in,28.0,24.0,0.0,30.0,54.0,12.8,6.6,19.0,31.5,40.5,11.25,5.4,11.9,2.6,13.5,6.0,8.0,5.5,13.2,21.25,22.8,25.6,16.0,1.0,2.0,0.75,1.18,1.0
9,Child,12,in,30.0,25.5,0.0,32.0,57.0,13.8,7.0,20.0,33.0,43.0,12.0,5.5,12.1,2.8,15.0,6.5,8.5,5.75,14.3,21.5,24.5,27.1,17.0,1.0,2.0,0.75,1.23,1.0
10,Child,14,in,32.0,26.5,0.0,34.0,60.0,15.0,7.4,21.0,35.0,45.0,12.25,5.6,12.3,3.0,16.0,7.0,9.0,6.0,15.4,21.75,25.0,28.5,18.0,1.25,2.5,1.0,1.27,1.0
